timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
6/21/2022 8:36,adjust_1-1,0,0.0008,-0.0017,-0.0026,0.1947,1.7,-0.9,99.3,-0.1,0,0,3.6,92.8,0,-0.002,-0.0059,-0.0069,0.1224
6/21/2022 8:36,adjust_1-2,0,0.0008,-0.0011,-0.0027,0.1947,1.7,-0.9,99.3,-0.1,0,0,3.9,94,0,-0.0022,-0.0067,-0.007,0.1229
6/21/2022 8:36,random_0.25in_10deg,0,-0.1822,0.1707,0.1252,0.195,1.7,-0.9,99.4,0.3,4.2,0,6.2,96.3,0,-0.1794,0.1601,0.1213,0.1224
6/21/2022 8:36,adjust_3,0,-0.0026,-0.0049,-0.0036,0.1949,1.7,-0.9,99.2,-0.2,0,0,3.1,97.2,0,-0.0044,-0.0099,-0.0078,0.125
6/21/2022 8:37,adjust_1-1,0,-0.0022,0.0015,-0.0039,0.1949,1.7,-1,99.5,-0.1,0,0,3.7,94.7,0,-0.0044,-0.0035,-0.0081,0.123
6/21/2022 8:37,adjust_1-2,0,-0.002,0.0013,-0.0039,0.1949,1.7,-1,99.4,-0.1,0,0,3.7,94.8,0,-0.0041,-0.0027,-0.0082,0.1228
6/21/2022 8:37,random_0.25in_10deg,0,0.0762,-0.1188,-0.2303,0.1947,1.7,-0.8,98.4,-1.6,3.5,0,3.8,94,0,0.0778,-0.1239,-0.2339,0.1236
6/21/2022 8:37,adjust_3,0,-0.0038,0.0009,-0.0015,0.1948,1.7,-1,99.5,0,0,0,3.5,97.3,0,-0.0056,-0.0035,-0.0057,0.123
6/21/2022 8:37,adjust_1-1,0,-0.004,0.0013,-0.0016,0.1948,1.7,-0.9,99.2,0,0,0,3.7,98.3,0,-0.0046,-0.0008,-0.0058,0.1218
6/21/2022 8:37,adjust_1-2,0,0.0003,0.002,-0.002,0.1943,1.7,-0.9,98.7,0,0,0,4,101.7,0,-0.0019,-0.0031,-0.0063,0.1229
6/21/2022 8:37,random_0.25in_10deg,0,-0.0749,-0.1313,-0.1826,0.1947,1.7,-0.9,98.7,-0.6,5.8,0,2.5,87.6,0,-0.0739,-0.1335,-0.1865,0.1215
6/21/2022 8:37,adjust_3,0,-0.0044,0.001,-0.0045,0.1952,1.7,-1,99.8,0,0,0,3,99.4,0,-0.0057,-0.0021,-0.0087,0.123
6/21/2022 8:37,adjust_1-1,0,0.0003,0.0023,-0.0004,0.1948,1.7,-0.9,99.3,0,0,0,3.6,98.8,0,-0.0021,-0.0012,-0.0048,0.122
6/21/2022 8:37,adjust_1-2,0,0.0006,0.0024,-0.0006,0.1944,1.7,-0.9,98.8,0,0,0,3.7,98,0,-0.0016,-0.0008,-0.0049,0.1219
6/21/2022 8:37,random_0.25in_10deg,0,-0.0006,-0.1729,0.1862,0.1948,1.7,-0.9,99,-10.5,9.6,0,3.2,84.9,0,0.0091,-0.1894,0.1874,0.1252
6/21/2022 8:37,adjust_3,0,-0.015,0.0056,-0.0094,0.1946,1.7,-0.9,98.8,0.2,0,0,3.5,103.2,0,-0.0163,0.0036,-0.0137,0.1213
6/21/2022 8:37,adjust_1-1,0,0.0004,0.0004,-0.0001,0.1944,1.7,-0.9,98.8,0.2,0,0,3.6,101.8,0,-0.0007,-0.0027,-0.0044,0.1221
6/21/2022 8:37,adjust_1-2,0,0.0002,0.0007,-0.0002,0.1943,1.7,-0.9,98.8,0.2,0,0,3.6,104.8,0,-0.001,-0.0022,-0.0045,0.1221
6/21/2022 8:38,random_0.25in_10deg,0,0.1385,0.1624,0.1057,0.1978,1.7,-1.1,101.2,-3.6,-4.6,0,6.4,93.7,0,0.1305,0.1453,0.103,0.1231
6/21/2022 8:38,adjust_3,0,-0.0009,-0.0026,0.0024,0.1946,1.7,-0.9,99.1,-0.1,0,0,3.6,91.1,0,-0.0035,-0.0077,-0.0019,0.123
6/21/2022 8:38,adjust_1-1,0,-0.0013,-0.0022,0.0024,0.1942,1.7,-0.9,98.7,-0.1,0,0,3.9,97.1,0,-0.0032,-0.0067,-0.002,0.1224
