gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_x,gh_radius
,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
135,0,-0.0006,-0.0045,0.0023,0.2622,3.1,0.8,98.6,-3.8,0.0,0.0000,1.2,85.4,0,-0.0007,-0.0209,-0.0047,0.1328
200,0,0.0011,-0.0030,-0.0026,0.3098,4.5,2.4,95.0,0.2,-0.2,0.0000,0.6,138.0,0,0.0039,-0.0048,-0.0133,0.1655
201,0,-0.0001,0.0013,-0.0001,0.3056,4.5,2.5,92.7,2.0,-0.3,0.0000,1.7,-130.3,0,0.0377,-0.2219,-0.0190,0.0848
202,0,0.0012,-0.0036,-0.0030,0.3062,4.6,2.6,92.0,0.2,-0.2,0.0000,0.7,149.1,0,0.0922,-0.2435,-0.0155,0.0596
203,0,-0.0016,0.0007,-0.0003,0.3015,4.8,2.8,88.5,2.0,-0.2,0.0000,1.3,-95.0,0,0.0001,0.0099,-0.0091,0.1680
204,0,0.0028,-0.0029,-0.0012,0.3102,4.4,2.3,96.0,0.2,-0.2,0.0000,1.5,-12.4,0,0.1427,0.2006,-0.0111,0.0600
205,0,0.0022,0.0001,-0.0007,0.3086,4.4,2.3,95.8,2.0,-0.2,0.0000,1.9,-178.0,0,0.0075,0.0102,-0.0093,0.1682
206,0,0.0003,-0.0023,0.0013,0.3084,4.5,2.4,94.7,0.2,0.0,0.0000,1.2,95.8,0,0.0043,-0.0054,-0.0084,0.1678
207,0,0.0000,-0.0017,0.0010,0.3030,4.6,2.6,91.1,2.0,0.0,0.0000,1.4,-88.6,0,-0.0019,0.0098,-0.0071,0.1661
300,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0012,-0.0013,0.0001,0.1233
301,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0023,-0.0010,0.0009,0.1228
302,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0009,0.0009,-0.0006,0.1232
303,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0022,-0.0007,-0.0006,0.1257
304,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0037,0.0002,-0.0013,0.1242
305,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,0.0001,0.0005,0.1258
306,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0012,-0.0012,-0.0010,0.1252
307,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0005,-0.0003,-0.0004,0.1236
308,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0003,-0.0006,0.0006,0.1239
