time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:31:23.924000,105_adjust_1,0,0.0002,-0.0006,-0.0002,0.1945,0.0650,-0.0369,99.22,0.00,-0.00,0.0000,4.32,94.14,0,-0.0021,-0.0044,-0.0048,0.1214,0.00,-0.00,-0.0054,0.0091
2022-11-11T11:31:29.683000,106_initial,0,0.0433,0.0851,-0.0438,0.2634,0.1236,0.0319,99.24,0.01,-0.17,0.0000,0.58,-30.19,0,0.0379,0.0867,-0.0515,0.1392,-0.23,-0.29,-0.0527,0.0194
2022-11-11T11:31:35.303000,106_adjust_3-1,0,0.0007,-0.0013,0.0012,0.2632,0.1233,0.0315,99.28,0.04,0.01,0.0000,0.89,-60.37,0,-0.0042,0.0043,-0.0063,0.1393,0.03,0.00,-0.0079,0.0196
2022-11-11T11:31:40.548000,106_adjust_1-2,0,-0.0004,-0.0002,0.0003,0.2633,0.1231,0.0312,99.41,0.00,0.00,0.0000,0.87,-58.39,0,-0.0048,0.0056,-0.0072,0.1393,-0.01,-0.00,-0.0088,0.0196
2022-11-11T11:31:44.757000,106_adjust_1,0,0.0005,0.0004,-0.0003,0.2633,0.1231,0.0312,99.41,0.00,0.00,0.0000,0.83,-54.40,0,-0.0042,0.0059,-0.0078,0.1397,-0.01,-0.01,-0.0094,0.0191
2022-11-11T11:31:50.319000,107_initial,0,0.0416,0.1434,-0.0416,0.2636,0.1236,0.0319,99.30,0.25,-0.21,0.0000,1.73,101.47,0,0.0461,0.1364,-0.0498,0.1380,-0.13,-0.30,-0.0512,0.0216
2022-11-11T11:31:55.854000,107_adjust_3-1,0,-0.0002,-0.0027,0.0019,0.2628,0.1237,0.0325,98.96,-0.02,0.01,0.0000,0.61,123.83,0,0.0020,-0.0084,-0.0063,0.1367,-0.03,0.02,-0.0078,0.0208
2022-11-11T11:32:01.484000,107_adjust_1-2,0,-0.0001,0.0000,-0.0004,0.2628,0.1239,0.0330,98.81,0.01,0.00,0.0000,0.55,143.30,0,0.0030,-0.0051,-0.0086,0.1368,-0.02,0.01,-0.0102,0.0218
2022-11-11T11:32:05.766000,107_adjust_1,0,0.0000,0.0003,-0.0002,0.2625,0.1243,0.0339,98.53,0.00,0.00,0.0000,0.68,133.86,0,0.0029,-0.0043,-0.0084,0.1366,-0.02,0.01,-0.0100,0.0213
2022-11-11T11:32:12.489000,108_initial,0,0.0548,-0.0217,-0.0326,0.1947,0.0633,-0.0436,100.87,-0.14,-0.08,0.0000,5.77,109.80,0,0.0566,-0.0301,-0.0374,0.1199,-0.13,-0.11,-0.0379,0.0094
